#index, Paramètre P, Amplitude
1,170,33
2,160,21
3,97,9
4,180,28
5,153,57
6,195,42
7,202,28
8,157,114
9,152,116
10,80,10
11,167,107
12,180,27
13,162,98
14,164,30
15,188,68
16,160,65
17,185,80
18,187,33
19,188,80
20,172,13
21,180,27
22,191,82
23,192,76
24,180,29
25,148,114
26,159,106
27,157,66
28,190,37
29,183,31
30,183,35
31,172,118
32,179,55
33,167,10
34,190,26
35,166,85
36,168,63
37,207,15
38,175,34
39,195,73
40,165,117
41,145,10
42,161,42
43,163,115
44,148,81
45,188,26
46,192,68
47,193,86
48,151,76
49,198,11
50,149,24
51,185,40
52,147,42
53,170,72
54,190,50
55,164,108
56,147,93
57,182,29
58,190,73
59,188,44
60,165,69
61,177,50
62,187,50
63,172,10
64,187,13
65,153,12
66,148,36
67,169,98
68,177,49
69,147,62
70,186,13
71,182,16
72,187,62
73,177,40
74,162,126
75,174,22
76,190,17
77,163,65
78,189,94
79,162,122
80,186,40
81,155,39
82,185,28
83,144,25
84,156,115
85,157,38
86,156,109
87,181,60
88,156,28
89,133,13
90,156,32
91,161,96
92,187,79
93,187,40
94,185,75
95,156,56
96,180,84
97,186,85
98,177,114
99,162,112
100,168,118
101,195,75
102,153,10
103,187,22
104,182,46
105,163,32
106,151,11
107,190,73
108,153,74
109,187,48
110,156,36
111,157,17
112,171,25
113,159,46
114,187,67
115,194,35
116,140,27
117,173,13
118,141,8
119,163,70
120,165,22
121,197,42
122,162,41
123,155,25
124,137,10
125,162,74
126,186,23
127,173,88
128,143,25
129,186,27
130,180,82
131,172,82
132,187,44
133,107,9
134,164,57
135,158,13
136,151,49
137,160,42
138,180,30
139,161,109
140,152,75
141,150,43
142,168,11
143,42,8
144,160,105
145,194,34
146,184,76
147,192,53
148,192,32
149,191,40
150,159,33
151,166,117
152,161,113
153,163,49
154,191,25
155,156,17
156,164,51
157,188,61
158,207,12
159,167,107
160,115,8
161,165,69
162,55,9
163,171,38
164,183,53
165,163,36
166,149,17
167,197,15
168,158,52
169,195,72
170,59,10
171,191,58
172,91,9
173,77,8
174,187,76
175,199,15
176,157,45
177,137,48
178,175,25
179,191,14
180,199,131
181,191,82
182,201,49
183,192,52
184,39,8
185,148,63
186,186,9
187,182,54
188,161,68
189,170,44
190,143,33
191,68,8
192,154,110
193,170,10
194,151,21
195,147,26
196,187,81
197,143,36
198,15,8
199,162,100
200,196,44
201,189,28
202,197,41
203,170,48
204,187,64
205,161,41
206,193,39
207,162,111
208,167,36
209,165,110
210,184,30
211,163,98
212,159,80
213,198,21
214,173,31
215,161,43
216,190,69
217,71,8
218,183,25
219,187,78
220,154,38
221,195,75
222,190,71
223,193,50
224,195,38
225,158,99
226,161,65
227,176,25
228,168,22
229,204,16
230,46,10
231,161,42
232,157,93
233,187,74
234,145,9
235,163,110
236,162,102
237,172,94
238,197,10
239,175,57
240,157,110
241,160,209
242,179,37
243,175,76
244,158,105
245,165,31
246,166,109
247,187,15
248,189,39
249,68,11
250,192,82
251,208,13
252,193,67
253,159,67
254,159,19
255,182,17
256,179,22
257,176,22
258,166,59
259,207,17
260,170,50
261,163,103
262,136,8
263,195,13
264,184,14
265,159,28
266,194,48
267,169,18
268,67,9
269,173,69
270,147,40
271,151,42
272,161,39
273,172,117
274,149,26
275,189,53
276,205,16
277,165,52
278,172,112
279,166,89
280,181,10
281,169,12
282,180,67
283,179,89
284,163,98
285,157,8
286,153,12
287,146,43
288,51,8
289,159,108
290,163,9
291,169,35
292,192,83
293,160,11
294,177,26
295,183,53
296,191,31
297,164,51
298,190,35
299,187,74
300,171,50
301,100,8
302,190,32
303,171,99
304,183,38
305,180,12
306,192,39
307,191,34
308,164,41
309,179,22
310,154,55
311,186,68
312,190,44
313,198,42
314,175,18
315,185,68
316,192,62
317,166,62
318,185,78
319,152,46
320,193,14
321,212,16
322,152,104
323,181,15
324,161,99
325,161,45
326,167,161
327,150,24
328,181,71
329,52,208
330,173,31
331,166,46
332,158,112
333,162,47
334,154,10
335,165,109
336,185,88
337,155,61
338,166,119
339,155,68
340,182,71
341,205,64
342,185,44
343,156,54
344,159,116
345,155,115
346,167,99
347,201,19
348,180,25
349,190,31
350,186,40
351,149,223
352,162,130
353,154,24
354,177,30
355,196,39
356,152,8
357,193,75
358,175,109
359,170,38
360,196,21
361,178,42
362,159,23
363,162,106
364,159,26
365,202,19
366,174,57
367,161,111
368,170,54
369,185,49
370,158,18
371,159,107
372,159,96
373,79,10
374,162,10
375,198,24
376,183,12
377,165,107
378,185,63
379,162,116
380,178,75
381,149,71
382,162,93
383,204,30
384,172,56
385,193,32
386,159,31
387,161,109
388,162,57
389,198,53
390,167,64
391,160,112
392,155,40
393,157,117
394,162,37
395,201,14
396,146,10
397,22,9
398,193,56
399,169,18
400,168,34
401,203,24
402,163,91
403,66,10
404,134,8
405,165,26
406,166,113
407,167,29
408,170,94
409,165,35
410,174,49
411,193,41
412,158,116
413,168,37
414,197,31
